Simulation Results for demo.tsv
Number of tasks: 17
Total execution time: 128 clock cycles

Task Schedule:
Task ID Start   End     Duration  Bytes   Wait IDs       Description
----------------------------------------------------------------------------------------------------
1       0       128     128       4096    None           (0, 0) (external) -> (1, 0) (layer_0_q_proj)
2       0       128     128       4096    None           (0, 0) (external) -> (2, 0) (layer_0_q_proj)
3       0       128     128       4096    None           (0, 0) (external) -> (3, 0) (layer_0_q_proj)
4       0       128     128       4096    None           (0, 0) (external) -> (4, 0) (layer_0_q_proj)
5       0       128     128       4096    None           (0, 0) (external) -> (5, 0) (layer_0_q_proj)
6       0       128     128       4096    None           (0, 0) (external) -> (6, 0) (layer_0_q_proj)
7       0       128     128       4096    None           (0, 0) (external) -> (7, 0) (layer_0_q_proj)
8       0       128     128       4096    None           (0, 0) (external) -> (8, 0) (layer_0_q_proj)
9       0       128     128       4096    None           (0, 0) (external) -> (9, 0) (layer_0_q_proj)
10      0       128     128       4096    None           (0, 0) (external) -> (10, 0) (layer_0_q_proj)
11      0       128     128       4096    None           (0, 0) (external) -> (11, 0) (layer_0_q_proj)
12      0       128     128       4096    None           (0, 0) (external) -> (12, 0) (layer_0_q_proj)
13      0       128     128       4096    None           (0, 0) (external) -> (13, 0) (layer_0_q_proj)
14      0       128     128       4096    None           (0, 0) (external) -> (14, 0) (layer_0_q_proj)
15      0       128     128       4096    None           (0, 0) (external) -> (15, 0) (layer_0_q_proj)
16      0       128     128       4096    None           (0, 0) (external) -> (16, 0) (layer_0_q_proj)
17      0       128     128       4096    None           (0, 0) (external) -> (17, 0) (layer_0_q_proj)
